순위,게임명,서비스,장르
1,ROBLOX,Roblox Corporation,어드벤처
2,라그나로크X,GRAVITY Co,롤플레잉
3,오딘:발할라 라이징,KAKAO GAMES,롤플레잉
4,원신,miHoYo Limited ,어드벤처
5,리니지M,NCSOFT,롤플레잉
6,카트라이더:드리프트,NEXON,자동차 경주
7,에버소울,KAKAO GAMES,롤플레잉
8,던전앤파이터,NEXON,롤플레잉
9,피파 모바일,NEXON,스포츠
10,탕탕특공대,Habby,어드벤처
11,포켓몬고,"Niantic, Inc.",어드벤처
12,리니지W,NCSOFT,롤플레잉
13,승리의 여신:니케,Level Infinity ,롤플레잉
14,블루 아카이브,NEXON,롤플레잉
15,히트2,NEXON,롤플레잉
16,이모탈 소울,SPGAME,롤플레잉
17,리니지2M,NCSOFT,롤플레잉
18,바람의나라 연,NEXON,롤플레잉
19,전략적 팀 전투,"Riot Games, Inc.",전략
20,쿠키런:킹덤,Devsisters,롤플레잉
21,헤븐 번즈 레드,"WFS, Inc.",롤플레잉
22,검은사막 모바일,PEARL ABYSS,롤플레잉
23,브롤스타즈,Supercell,액션
24,카운터사이드,스튜디오비사이드,롤플레잉
25,메이플스토리M,NEXON,롤플레잉
26,블레이드 키우기,mobirix,시뮬레이션
27,천상비M,Sesisoft,롤플레잉
28,V4,NEXON,롤플레잉
29,데블M,37 Mobile Games ,롤플레잉
30,소울 커넥터,Gamepub,롤플레잉
31,냥코 대전쟁,PONOS Corporation,캐주얼 게임
32,트리 오브 세이비어 M,imcGAMES,롤플레잉
33,카트라이더 러쉬플러스,NEXON,자동차 경주
34,십이지천M 오리진,NTORI,롤플레잉
35,대항해시대 Origin,LINE Games ,롤플레잉
36,닌자 머스트 다이,Pandada Games,액션
37,세븐나이츠2,Netmarble,롤플레잉
38,일곱개의 대죄:그랜드 크로스,Netmarble,롤플레잉
39,카오스 포털:저승사자,SHARK ENTERTAINMENT LIMITED ,롤플레잉
40,프로젝트 세카이 컬러풀 스테이지! feat.하츠네 미쿠,Nuverse,음악
